iter	Passed	Remaining
0	2	2199
1	3	1819
2	5	1675
3	6	1654
4	8	1677
5	10	1663
6	11	1649
7	13	1685
8	15	1675
9	16	1633
10	17	1604
11	19	1603
12	21	1637
13	22	1618
14	24	1620
15	26	1630
16	28	1640
17	29	1636
18	32	1686
19	34	1684
20	35	1673
21	37	1653
22	38	1650
23	40	1659
24	42	1641
25	43	1632
26	45	1641
27	46	1624
28	47	1598
29	49	1587
30	50	1573
31	51	1562
32	53	1554
33	54	1537
34	55	1525
35	56	1512
36	57	1499
37	58	1493
38	60	1479
39	60	1463
40	62	1453
41	63	1447
42	65	1447
43	66	1435
44	67	1426
45	68	1419
46	69	1415
47	71	1411
48	72	1404
49	73	1394
50	74	1387
51	75	1384
52	77	1380
53	78	1375
54	79	1369
55	80	1362
56	82	1360
57	83	1359
58	84	1352
59	85	1344
60	86	1338
61	88	1333
62	89	1331
63	90	1328
64	91	1321
65	93	1318
66	94	1317
67	96	1317
68	97	1315
69	98	1309
70	99	1306
71	101	1303
72	102	1304
73	103	1299
74	104	1293
75	106	1289
76	107	1289
77	109	1291
78	110	1285
79	111	1280
80	112	1276
81	113	1273
82	115	1272
83	116	1268
84	117	1263
85	118	1259
86	119	1257
87	121	1258
88	122	1254
89	123	1252
90	125	1249
91	126	1247
92	128	1248
93	129	1244
94	130	1241
95	131	1239
96	132	1237
97	134	1236
98	135	1231
99	136	1226
100	137	1226
101	139	1225
102	140	1224
103	141	1219
104	142	1217
105	143	1213
106	145	1210
107	146	1209
108	147	1207
109	148	1203
110	149	1200
111	151	1197
112	152	1195
113	153	1195
114	154	1190
115	155	1187
116	156	1184
117	158	1184
118	159	1184
119	161	1181
120	162	1179
121	163	1178
122	165	1179
123	166	1177
124	168	1176
125	169	1175
126	170	1172
127	172	1172
128	173	1169
129	174	1167
130	175	1166
131	177	1167
132	179	1167
133	180	1165
134	181	1163
135	183	1162
136	184	1162
137	185	1160
138	186	1157
139	187	1154
140	189	1153
141	191	1154
142	191	1149
143	193	1147
144	194	1145
145	195	1144
146	197	1144
147	198	1141
148	199	1138
149	200	1135
150	201	1134
151	202	1130
152	204	1129
153	205	1127
154	206	1124
155	207	1121
156	208	1121
157	210	1119
158	211	1116
159	212	1113
160	212	1109
161	213	1105
162	215	1105
163	216	1102
164	217	1099
165	218	1096
166	219	1094
167	220	1092
168	222	1091
169	223	1089
170	224	1086
171	224	1082
172	226	1080
173	227	1078
174	228	1077
175	229	1074
176	230	1072
177	231	1070
178	233	1069
179	234	1068
180	235	1064
181	236	1062
182	237	1059
183	238	1058
184	239	1054
185	240	1053
186	241	1051
187	242	1049
188	243	1046
189	245	1045
190	246	1044
191	247	1042
192	248	1038
193	249	1036
194	250	1032
195	250	1029
196	251	1026
197	253	1025
198	254	1022
199	254	1018
200	255	1016
201	256	1014
202	258	1013
203	259	1012
204	260	1010
205	261	1006
206	262	1004
207	263	1002
208	264	1002
209	265	1000
210	267	998
211	268	996
212	268	993
213	269	991
214	270	988
215	271	985
216	272	983
217	273	980
218	274	978
219	275	975
220	276	973
221	277	970
222	278	970
223	279	968
224	280	965
225	280	962
226	281	959
227	283	958
228	284	957
229	285	954
230	285	952
231	286	948
232	287	945
233	287	942
234	289	941
235	290	939
236	290	936
237	291	934
238	292	931
239	293	929
240	294	927
241	295	924
242	295	921
243	297	920
244	297	917
245	298	913
246	298	910
247	299	906
248	299	904
249	300	901
250	301	900
251	303	900
252	303	897
253	305	896
254	306	895
255	308	895
256	309	894
257	310	892
258	311	889
259	311	887
260	312	885
261	314	885
262	315	883
263	315	880
264	316	878
265	318	877
266	319	876
267	320	875
268	321	873
269	322	872
270	323	869
271	324	869
272	325	866
273	326	865
274	327	864
275	328	862
276	330	861
277	331	860
278	332	860
279	334	858
280	335	857
281	335	854
282	336	853
283	337	851
284	339	851
285	340	850
286	341	848
287	342	847
288	344	847
289	345	845
290	346	844
291	347	843
292	348	840
293	349	840
294	351	840
295	352	837
296	352	835
297	353	833
298	355	832
299	356	831
300	357	831
301	359	829
302	360	828
303	360	825
304	361	823
305	362	822
306	363	821
307	365	820
308	366	818
309	366	816
310	368	816
311	370	816
312	370	813
313	371	812
314	372	810
315	373	808
316	374	807
317	376	807
318	377	805
319	378	804
320	379	802
321	380	801
322	382	801
323	383	800
324	384	798
325	385	797
326	386	796
327	388	795
328	389	795
329	390	793
330	391	792
331	393	791
332	394	790
333	395	789
334	396	787
335	397	786
336	399	785
337	400	784
338	401	783
339	403	782
340	404	780
341	405	780
342	406	779
343	408	778
344	409	777
345	410	776
346	411	775
347	413	774
348	414	773
349	416	772
350	417	771
351	418	769
352	419	768
353	420	768
354	422	766
